opaque_case_token,incident_class,injection_channel,injection_object_id,ordered_event_ids,tool_action,affected_resource_ids,external_effect,confidence_0_100,supporting_event_ids,start_time_utc,submit_time_utc
CASE-9c8b00c89c87aa36,malicious,retrieved_document,DOC-ca13fdade5-C1,"EVT-d2d237909fc64f47,EVT-5e92687d211ba69f",none,,no,85,"EVT-d2d237909fc64f47,EVT-5e92687d211ba69f",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-41aa8ac6234bde6a,malicious,rag_corpus,DOC-81caa39f62-C1,"EVT-9251220bd1be9213,EVT-6b32fd245555dd82",none,,no,85,"EVT-9251220bd1be9213,EVT-6b32fd245555dd82",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-e9667ed4379c14f4,indeterminate,unknown,unknown,,unknown,,unknown,25,EVT-50c942f15869275e,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-335b65b273957375,benign,none,,,none,,no,80,"EVT-a91c64b7723c10a8,EVT-2e57a49d746290c8",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-d0f3da1b975978b7,indeterminate,unknown,unknown,,unknown,,unknown,25,"EVT-547f14f7e46f466e,EVT-e3f9f3c1b76f58bd",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-fb72fb3d7f25d68a,malicious,retrieved_document,DOC-0da619eed8-C1,"EVT-b39c7bc9cdf58071,EVT-f986c9e2c2627d5f,EVT-52ce33dafa051c5f",unknown,,unknown,70,"EVT-b39c7bc9cdf58071,EVT-f986c9e2c2627d5f,EVT-52ce33dafa051c5f",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-98f6539c2173fb50,malicious,user,EVT-9056f5d3fac71e5e,"EVT-9056f5d3fac71e5e,EVT-1f2e41350268d545,EVT-a15e37d586a300a2,EVT-d031192ba831465d,EVT-2df042a55401f806,EVT-29827cd589887c28,EVT-3b0b05fc86b6bd8e",completed,record_10,yes,80,"EVT-9056f5d3fac71e5e,EVT-1f2e41350268d545,EVT-a15e37d586a300a2,EVT-d031192ba831465d,EVT-2df042a55401f806,EVT-29827cd589887c28,EVT-3b0b05fc86b6bd8e",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-499a4c93bb25fc4e,malicious,user,EVT-312c1bf07a520ada,"EVT-312c1bf07a520ada,EVT-aaf6035933df0412",none,,no,80,"EVT-312c1bf07a520ada,EVT-aaf6035933df0412",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-b595a9d1d0ff91d6,malicious,user,EVT-290c0dcb0f27553a,"EVT-290c0dcb0f27553a,EVT-af799e08ddd14e03,EVT-cb8c2a93a72f1e73",unknown,,unknown,65,"EVT-290c0dcb0f27553a,EVT-af799e08ddd14e03,EVT-cb8c2a93a72f1e73",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-07c023a2c576d5c3,benign,none,,,none,,no,80,"EVT-f2623f97490494f0,EVT-b10f1d8d34ba3a3c",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-4424b9da9650e75b,malicious,user,EVT-ecf166e9ac4cc3d0,"EVT-ecf166e9ac4cc3d0,EVT-8cd4cfb5ef1fc86a,EVT-ed058af0fdd0e8e8,EVT-5508dcc4595e625d",attempted,,no,65,"EVT-ecf166e9ac4cc3d0,EVT-8cd4cfb5ef1fc86a,EVT-ed058af0fdd0e8e8,EVT-5508dcc4595e625d",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-5e98b1e0222067d2,indeterminate,unknown,unknown,,unknown,,unknown,25,EVT-1368833953f9fe85,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-aa67c93899cf3308,malicious,retrieved_document,DOC-3009f18511-C1,"EVT-4bebb48822299272,EVT-11d14db89d0e7a7a,EVT-070b8f8bef7b3fab",unknown,,unknown,70,"EVT-4bebb48822299272,EVT-11d14db89d0e7a7a,EVT-070b8f8bef7b3fab",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-0bf777aca83e91b0,malicious,user,EVT-a2172b05d45a9256,"EVT-a2172b05d45a9256,EVT-e192930ce9328288,EVT-330c2b4dca51d53b,EVT-830d11449b70135a",completed,token_21,yes,65,"EVT-a2172b05d45a9256,EVT-e192930ce9328288,EVT-330c2b4dca51d53b,EVT-830d11449b70135a",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-3acb1ad04588f58c,malicious,retrieved_document,DOC-eef21a5d01-C1,"EVT-a40f6f2823c0a5f3,EVT-ff9806b631f6e3a9,EVT-169fa61b2d15027c,EVT-a59ca25cb2994542,EVT-641168b21a41a78d",completed,,yes,85,"EVT-a40f6f2823c0a5f3,EVT-ff9806b631f6e3a9,EVT-169fa61b2d15027c,EVT-a59ca25cb2994542,EVT-641168b21a41a78d",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-f0f9ffdefcb9ceb5,malicious,tool_output,TOOL-0cf0de2d4879a546,"EVT-387149b4eb7426c0,EVT-ce4a5f88a83183f6,EVT-ff84743f83bd8f8d,EVT-d1e24835db34cbc7",completed,record_04,no,85,"EVT-037e0865a2543507,EVT-387149b4eb7426c0,EVT-ce4a5f88a83183f6,EVT-ff84743f83bd8f8d,EVT-d1e24835db34cbc7",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-0b746cf6438497f9,indeterminate,unknown,unknown,,unknown,,unknown,25,"EVT-f05514e28a51a32d,EVT-e44730ea5b9d1ca2",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-6e8c48273e401909,malicious,rag_corpus,unknown,"EVT-2afcb3f0a51cc4f2,EVT-64e11aa2d7e10ba7,EVT-2601f04bc1948cf4",completed,record_16,no,50,"EVT-2afcb3f0a51cc4f2,EVT-64e11aa2d7e10ba7,EVT-2601f04bc1948cf4",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-6b76598bcfe31992,benign,none,,,none,,no,80,"EVT-0e3c13e17d80813f,EVT-b970d3b85aac6f59",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-ebbc383822a3613c,malicious,user,EVT-482565a59c189e42,"EVT-482565a59c189e42,EVT-0046775d360ed452",none,,no,80,"EVT-482565a59c189e42,EVT-0046775d360ed452",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-c229e30adfa59987,benign,none,,,none,,no,80,"EVT-24e10e3424160652,EVT-946bd9f40f4e579b",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-27859e133d8ab2f1,malicious,retrieved_document,DOC-8e4a728b3c-C1,"EVT-b8390b30eb87418a,EVT-c300ec1effe0a351,EVT-a3b93fdc2340c47b,EVT-345d0547735abba9",completed,record_05,no,85,"EVT-b8390b30eb87418a,EVT-c300ec1effe0a351,EVT-a3b93fdc2340c47b,EVT-345d0547735abba9",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-1956a6217f5d7b4f,malicious,user,EVT-8d534804ab2728a0,"EVT-8d534804ab2728a0,EVT-4dd71d7732001cbd,EVT-7a8aca286b4f7060,EVT-c44addb154597d6c",completed,record_14,no,65,"EVT-8d534804ab2728a0,EVT-4dd71d7732001cbd,EVT-7a8aca286b4f7060,EVT-c44addb154597d6c",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-7ab09a8a80631d1c,malicious,user,EVT-e94e40c74b268507,"EVT-e94e40c74b268507,EVT-4e528b7c3b50978d",none,,no,65,"EVT-e94e40c74b268507,EVT-4e528b7c3b50978d",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-d1eacb1383a0dae4,malicious,user,EVT-3046d49e09bf0492,"EVT-3046d49e09bf0492,EVT-c1dc7cc943278662",none,,no,80,"EVT-3046d49e09bf0492,EVT-c1dc7cc943278662",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-9e04a3d444738bf2,malicious,rag_corpus,DOC-200dc1fb91-C1,"EVT-dbd85d0c0c955c7d,EVT-5f2241a24a6083a9",none,,no,85,"EVT-dbd85d0c0c955c7d,EVT-5f2241a24a6083a9",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-4bb3838a9106c990,indeterminate,unknown,unknown,,unknown,,unknown,25,EVT-d196c2913dec02e4,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-0e70e3f868312f37,malicious,user,EVT-d234bd4bff84babb,"EVT-d234bd4bff84babb,EVT-3cc18eda70a81347,EVT-1f3bfde5cacca0de",completed,record_17,unknown,80,"EVT-d234bd4bff84babb,EVT-3cc18eda70a81347,EVT-1f3bfde5cacca0de",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-df64d901ca8f4f0f,indeterminate,unknown,unknown,,unknown,,unknown,10,EVT-f9318de9696d9ddd,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-18b78e3c3b5b0970,malicious,tool_output,TOOL-88510f7d4931bb4f,"EVT-2cc00c6c09e05e31,EVT-06965496486a8ed4",completed,,no,85,"EVT-0bdb7a0f966013f9,EVT-2cc00c6c09e05e31,EVT-06965496486a8ed4",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-b2da3928da204587,malicious,user,EVT-7270f9feff9f04db,"EVT-7270f9feff9f04db,EVT-54e2597259bb678e,EVT-f38c4ba987035971,EVT-d404b69726754735",completed,record_19,no,80,"EVT-7270f9feff9f04db,EVT-54e2597259bb678e,EVT-f38c4ba987035971,EVT-d404b69726754735",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-87109116f65e63d9,malicious,retrieved_document,DOC-f816be0716-C1,"EVT-b8307869d84d8ec6,EVT-86ae67e825af0bdc,EVT-53c42858d6aed715,EVT-afbf3fe2d139585c",completed,record_21,no,85,"EVT-b8307869d84d8ec6,EVT-86ae67e825af0bdc,EVT-53c42858d6aed715,EVT-afbf3fe2d139585c",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-a94fcfd00a2d9120,benign,none,,,completed,,no,60,"EVT-726991060fc1861a,EVT-6d34ee601367eac2,EVT-8828e78f6104c3b1,EVT-bc6f86f645f86298,EVT-17c6fc67f5695653",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-8283eccb226269d1,malicious,rag_corpus,DOC-5aa3fa4a70-C1,"EVT-f20b347d3ff8c18d,EVT-82acb5fdbb88e3c0,EVT-e722b5e835ec5378",unknown,,unknown,70,"EVT-f20b347d3ff8c18d,EVT-82acb5fdbb88e3c0,EVT-e722b5e835ec5378",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-b0636ccc1eefb1fa,benign,none,,,none,,no,80,"EVT-aac944d6534c7366,EVT-1bc590c91578dc29",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-f75378abf51d2ff7,malicious,rag_corpus,unknown,EVT-ff4ebd70290e113c,none,,no,50,EVT-ff4ebd70290e113c,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-f2289475dffcb06b,malicious,rag_corpus,DOC-f5600f98a4-C1,"EVT-691e238a3d6fca78,EVT-cadacea6e5b3f1de",none,,no,85,"EVT-691e238a3d6fca78,EVT-cadacea6e5b3f1de",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-4e992f5b4a972b9c,indeterminate,unknown,unknown,,unknown,,unknown,25,EVT-eec5587665893601,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-636618f2952590de,benign,none,,,unknown,,unknown,80,"EVT-c032cfbee88667c3,EVT-d3b7cde0a63e1f19,EVT-eae9aa2e1af141f4,EVT-c4123dec98c2834d",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-46092536a09a7a89,malicious,retrieved_document,DOC-04bd45de34-C1,"EVT-d03fdd0b7e7ec918,EVT-68832cab95f60674",none,,no,85,"EVT-d03fdd0b7e7ec918,EVT-68832cab95f60674",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-b0ff74094787ed08,indeterminate,unknown,unknown,,unknown,,unknown,25,EVT-dcd379e28503b1c7,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-1a5e1f4dd98f60de,benign,none,,,unknown,,unknown,80,"EVT-c2414ebe05c1d7a4,EVT-850e86d3771832f3,EVT-62462d0dd68a5e40",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-1646646eea11a299,indeterminate,unknown,unknown,,unknown,,unknown,10,EVT-172afe9e6623aa46,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-52fca5c3918da56d,malicious,rag_corpus,DOC-3fba177a24-C1,"EVT-9a84ccd30eb9086e,EVT-a478d630e76496c6,EVT-410647a9b011d324,EVT-82e08302183b7ea6,EVT-727f5f067804344a",completed,token_07,yes,85,"EVT-9a84ccd30eb9086e,EVT-a478d630e76496c6,EVT-410647a9b011d324,EVT-82e08302183b7ea6,EVT-727f5f067804344a",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-7491ea33f6dc6b0e,indeterminate,unknown,unknown,,unknown,,unknown,10,EVT-8bfc15042aa04aac,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-64da8439753ea404,indeterminate,unknown,unknown,,unknown,,unknown,25,EVT-308c5a43a6e0277d,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-345c6c59ab665c11,indeterminate,unknown,unknown,,unknown,,unknown,10,EVT-0ea8a802d041b31b,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-1df7d9b416e3234d,malicious,user,EVT-b84defdfccd117be,"EVT-b84defdfccd117be,EVT-f5f3a09dd9ce0148",none,,no,65,"EVT-b84defdfccd117be,EVT-f5f3a09dd9ce0148",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-f996e9955210f3c7,malicious,user,EVT-ff2499f99ad302a9,"EVT-ff2499f99ad302a9,EVT-2ab88c8701706a77,EVT-7e5d9a953e79262c",unknown,,unknown,65,"EVT-ff2499f99ad302a9,EVT-2ab88c8701706a77,EVT-7e5d9a953e79262c",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-a47d61f23e1383e4,benign,none,,,completed,,no,80,"EVT-d09e3d8f5aec7a26,EVT-40847dce3f882e2a,EVT-9625c6cbe9a9abd6,EVT-48a91361b7800747",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-18b2f1a77b1e8330,malicious,user,EVT-e562bf372dedcfbe,"EVT-e562bf372dedcfbe,EVT-c954186348b56619,EVT-a736864c3a5961e8",unknown,,unknown,80,"EVT-e562bf372dedcfbe,EVT-c954186348b56619,EVT-a736864c3a5961e8",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-45f870eacd3bad9b,indeterminate,unknown,unknown,,unknown,,unknown,10,EVT-22ab322ff3f47a6d,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-83f2f1c3ed57c6c9,malicious,user,EVT-26729d9022ad8ee2,"EVT-26729d9022ad8ee2,EVT-5c43d01fb9a4bdf5",none,,no,80,"EVT-26729d9022ad8ee2,EVT-5c43d01fb9a4bdf5",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-2a400108ab3b19d9,indeterminate,unknown,unknown,,unknown,,unknown,10,EVT-a84860c422a82756,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-dcf5decef00291d7,malicious,user,EVT-eb6741f7ec46b59e,"EVT-eb6741f7ec46b59e,EVT-258de3d697101930,EVT-6c505c79c9680798",unknown,,unknown,65,"EVT-eb6741f7ec46b59e,EVT-258de3d697101930,EVT-6c505c79c9680798",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-b250270f1fb8b9e2,malicious,retrieved_document,DOC-16287c02ff-C1,"EVT-d68e414bb3ec3bb8,EVT-2a91e228beb082e9",none,,no,85,"EVT-d68e414bb3ec3bb8,EVT-2a91e228beb082e9",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-85ad5fbcbd9c2ed6,malicious,user,EVT-bc7c532e13f38203,"EVT-bc7c532e13f38203,EVT-45b142df6519bae5,EVT-04ebedbe5858c296,EVT-f8edbb49f940df68",completed,record_07,no,65,"EVT-bc7c532e13f38203,EVT-45b142df6519bae5,EVT-04ebedbe5858c296,EVT-f8edbb49f940df68",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-05ff8c4636c146a4,malicious,rag_corpus,DOC-3f1538ff72-C1,"EVT-e74a7fe3248bf6e8,EVT-3eac80d2e7ee5dc6,EVT-b363aa1d133a116f,EVT-108bb2525bf6dc67",completed,token_12,yes,85,"EVT-e74a7fe3248bf6e8,EVT-3eac80d2e7ee5dc6,EVT-b363aa1d133a116f,EVT-108bb2525bf6dc67",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-d2e9661e4c6df218,indeterminate,unknown,unknown,,unknown,,unknown,25,EVT-e9f2abae467adc0a,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-c58330885357886f,malicious,tool_output,TOOL-26c296d3302c1d99,"EVT-e821d50f83c54c98,EVT-dbf7d7f376ff5d19",completed,,no,85,"EVT-263d75df630374eb,EVT-e821d50f83c54c98,EVT-dbf7d7f376ff5d19",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-4d938b2b58a09ff9,malicious,user,EVT-20132556e3a3c3a5,"EVT-20132556e3a3c3a5,EVT-69dca700246a1e12,EVT-9b70d55b3553004a,EVT-37df7a62a834c3c3,EVT-2b14980aa3612fe7,EVT-debcb779936114a9",completed,record_18,yes,80,"EVT-20132556e3a3c3a5,EVT-69dca700246a1e12,EVT-9b70d55b3553004a,EVT-37df7a62a834c3c3,EVT-2b14980aa3612fe7,EVT-debcb779936114a9",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-8a9b3ecbd99cb9ea,malicious,user,EVT-3af1317449734fd0,"EVT-3af1317449734fd0,EVT-2391a9428f0c340b",none,,no,80,"EVT-3af1317449734fd0,EVT-2391a9428f0c340b",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-77d60d5d9e832ae0,indeterminate,unknown,unknown,,unknown,,unknown,10,EVT-bb8c548427b9a961,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-eabe1ae803e9cf7d,malicious,retrieved_document,DOC-c0b4a442bd-C1,"EVT-d341d2d238015a94,EVT-be8fad7c716a5948,EVT-083ed7256cea9d65,EVT-c607066127002a1f",completed,record_21,no,85,"EVT-d341d2d238015a94,EVT-be8fad7c716a5948,EVT-083ed7256cea9d65,EVT-c607066127002a1f",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-f794963b42e6b8a7,benign,none,,,none,,no,80,"EVT-4bbeffb6a1059b1e,EVT-2d5cda588c7ca295",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-6a021099a64b45ab,malicious,retrieved_document,unknown,"EVT-0f768c8f8f835600,EVT-e678ac5f34608ec8",unknown,,unknown,50,"EVT-0f768c8f8f835600,EVT-e678ac5f34608ec8",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-648de728d6953cf2,malicious,user,EVT-f00edea5412b0aa5,"EVT-f00edea5412b0aa5,EVT-70fe01acdbd59045,EVT-75f408825af2e441,EVT-7b1138a4f2c97d5f",completed,record_27,no,80,"EVT-f00edea5412b0aa5,EVT-70fe01acdbd59045,EVT-75f408825af2e441,EVT-7b1138a4f2c97d5f",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-658ce3212471e0b6,indeterminate,unknown,unknown,,unknown,,unknown,25,EVT-ae1bfcae567a975a,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-2c9fbeb30ccd0f48,malicious,user,EVT-93a0dd90c9905ce8,"EVT-93a0dd90c9905ce8,EVT-d51d01014c4fc1f5,EVT-f007a104ea92609c",completed,record_11,unknown,80,"EVT-93a0dd90c9905ce8,EVT-d51d01014c4fc1f5,EVT-f007a104ea92609c",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-f01b345812cc2c6c,malicious,user,EVT-5045736c00201bf1,"EVT-5045736c00201bf1,EVT-05de20a1de25d9f5,EVT-99c601456569e71d",completed,record_03,unknown,80,"EVT-5045736c00201bf1,EVT-05de20a1de25d9f5,EVT-99c601456569e71d",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-e9b49555a0e27d15,benign,none,,,unknown,,unknown,80,"EVT-f2b35e97e12801a9,EVT-6620ff3b4cd5071a,EVT-af9e0bc6525be4cb",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-cd3537e1bb996b91,indeterminate,unknown,unknown,,unknown,,unknown,10,EVT-f185b2f5056195e2,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-467d4c5fe4ee6904,malicious,retrieved_document,DOC-c254f9464f-C1,"EVT-cd5536565fdf0e46,EVT-cfc6a8cd67aded75",none,,no,85,"EVT-cd5536565fdf0e46,EVT-cfc6a8cd67aded75",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-8e825fa4cf355fcc,indeterminate,unknown,unknown,,unknown,,unknown,25,"EVT-cba7707d21c52539,EVT-ae1f26e65806a657,EVT-c301310e8035a299",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-d364ec494b06c3dc,malicious,rag_corpus,DOC-30f7de7354-C1,"EVT-2f78752199e7240d,EVT-5c6b20632a606425,EVT-c51aa1b60ab53771",unknown,,unknown,70,"EVT-2f78752199e7240d,EVT-5c6b20632a606425,EVT-c51aa1b60ab53771",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-f4f367c5d8154cc2,benign,none,,,completed,,no,80,"EVT-eb7a689aaa582b42,EVT-6e34d3e571e6e7e3,EVT-a6f278c7cc293650,EVT-b0e4e40993bd47e9,EVT-9f2098cb6f3064e8",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-439507a8d9431388,malicious,user,EVT-1b5767c6525fcadc,"EVT-1b5767c6525fcadc,EVT-89fcacbc29a3c945,EVT-e6237bf616c80f6e",completed,record_11,unknown,80,"EVT-1b5767c6525fcadc,EVT-89fcacbc29a3c945,EVT-e6237bf616c80f6e",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-8dfed45bf0772ed0,malicious,user,EVT-9e46e483e72957c2,"EVT-9e46e483e72957c2,EVT-4e635eecf27388a7",none,,no,80,"EVT-9e46e483e72957c2,EVT-4e635eecf27388a7",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-27e099c36ddde4e1,malicious,tool_output,TOOL-40ba72b20feb7641,"EVT-17f0b2f8f68a970c,EVT-181c0b6bd7dbb5bf,EVT-24181a9e183dc4bd",completed,,no,85,"EVT-d7d98b22212ed957,EVT-17f0b2f8f68a970c,EVT-181c0b6bd7dbb5bf,EVT-24181a9e183dc4bd",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-d9c9fe63d0f53634,indeterminate,unknown,unknown,,unknown,,unknown,25,EVT-59a1e05b76d9f17a,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-b214190ce6db44f0,malicious,rag_corpus,DOC-b8a52ea332-C1,"EVT-64c077dddf198a0b,EVT-188644970c795573,EVT-79ac0727c6fae3c8",unknown,,unknown,70,"EVT-64c077dddf198a0b,EVT-188644970c795573,EVT-79ac0727c6fae3c8",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
