opaque_case_token,incident_class,injection_channel,injection_object_id,ordered_event_ids,tool_action,affected_resource_ids,external_effect,confidence_0_100,supporting_event_ids,start_time_utc,submit_time_utc
CASE-18718b529ae405b8,malicious,user,EVT-6fe03f3de3714981,"EVT-6fe03f3de3714981,EVT-82babbebc613874b,EVT-8ad0aecc5608eb9f,EVT-48f142cf7383e420",unknown,,unknown,80,"EVT-6fe03f3de3714981,EVT-82babbebc613874b,EVT-8ad0aecc5608eb9f,EVT-48f142cf7383e420",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-1eb8884bd161f12e,malicious,rag_corpus,DOC-6018a9e791-C1,"EVT-4c1362a2f2f8944c,EVT-5c93d7a7c496036d,EVT-afbd3dc9320a7a66,EVT-be08e07f73d66000",completed,record_14,no,85,"EVT-4c1362a2f2f8944c,EVT-5c93d7a7c496036d,EVT-afbd3dc9320a7a66,EVT-be08e07f73d66000",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-9c4e100e05272e6d,malicious,user,EVT-eb8b989486b6fe5c,"EVT-eb8b989486b6fe5c,EVT-7b160c0ce24220c9,EVT-a22ec4162eb22e5b,EVT-d17b102ec24ebbe5",completed,record_13,unknown,80,"EVT-eb8b989486b6fe5c,EVT-7b160c0ce24220c9,EVT-a22ec4162eb22e5b,EVT-d17b102ec24ebbe5",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-128947512fcc8bee,indeterminate,unknown,unknown,,unknown,,unknown,10,EVT-325e3171eccb79cc,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-1f9b770d705c4157,benign,none,,,unknown,,unknown,80,"EVT-26c89295f3e26f2b,EVT-ae6b1d008185eb13,EVT-ad558eda9943807c",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-36a2ccd998e814e8,malicious,user,EVT-bcbad56f8cfca201,"EVT-bcbad56f8cfca201,EVT-91e8cff9e131ef6d,EVT-5a23565bcedffc9a",completed,record_19,unknown,80,"EVT-bcbad56f8cfca201,EVT-91e8cff9e131ef6d,EVT-5a23565bcedffc9a",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-7f391811ef695df9,malicious,retrieved_document,DOC-ba4c813cce-C1,"EVT-f6d77abbc2c17193,EVT-6a80f86830b96b6e",none,,no,85,"EVT-f6d77abbc2c17193,EVT-6a80f86830b96b6e",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-cc4ad707b86a3153,benign,none,,,unknown,,unknown,80,"EVT-a82203c774687428,EVT-3a1a5693d7ca2c23,EVT-eee42a076e5f025c,EVT-44a224c00305af05",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-4c76002894273c0b,benign,none,,,none,,no,80,"EVT-09165d55a221ab62,EVT-228fac52a6f7566f",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-83c786578ca9ab56,malicious,retrieved_document,DOC-cf75504e4b-C1,"EVT-b6b8d90706eb7823,EVT-13d3c7b7dee84de5,EVT-203a89c21c80bb3b,EVT-5bbddfdd4b2733fc",completed,record_07,no,85,"EVT-b6b8d90706eb7823,EVT-13d3c7b7dee84de5,EVT-203a89c21c80bb3b,EVT-5bbddfdd4b2733fc",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-fd87e1493058ba66,indeterminate,unknown,unknown,,unknown,,unknown,10,EVT-8843b3f28d450cc5,2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-62f64d82d90b704b,malicious,user,EVT-5ec84cd14d7bcf06,"EVT-5ec84cd14d7bcf06,EVT-ecdac9209b7677a9,EVT-e4e8d9db678ed5c5",completed,record_20,unknown,80,"EVT-5ec84cd14d7bcf06,EVT-ecdac9209b7677a9,EVT-e4e8d9db678ed5c5",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
CASE-e7c78904781d2100,malicious,rag_corpus,unknown,"EVT-893a0959d61f14bc,EVT-4aab59b1053c89f3,EVT-137c37ae83802a42",completed,record_09,no,50,"EVT-893a0959d61f14bc,EVT-4aab59b1053c89f3,EVT-137c37ae83802a42",2026-09-12T18:20:00Z,2026-09-12T18:18:07Z
